country,sex,age_group,population_000
afg,f,65_plus,213.19400024414062
afg,mf,15_plus,9562.3125
afg,mf,15_24,3540.201171875
afg,mf,15_64,9139.6708984375
afg,mf,25_54,4992.18115234375
afg,mf,25_34,2331.31884765625
afg,mf,35_54,2660.862060546875
afg,mf,55_64,607.2890014648438
afg,mf,65_plus,422.6409912109375
afg,m,15_plus,4936.10205078125
afg,m,15_24,1853.5489501953125
afg,m,15_64,4731.533203125
afg,m,25_54,2572.592041015625
afg,m,25_34,1214.81396484375
afg,m,35_54,1357.7779541015625
afg,m,55_64,305.3919982910156
afg,m,65_plus,204.56900024414062
afg,f,15_plus,4626.2099609375
afg,f,15_24,1686.6519775390625
afg,f,15_64,4408.13818359375
afg,f,25_54,2419.589111328125
afg,f,25_34,1116.5050048828125
afg,f,35_54,1303.083984375
afg,f,55_64,301.8970031738281
afg,f,65_plus,218.07200622558594
afg,mf,15_plus,9812.4326171875
afg,mf,15_24,3638.364990234375
afg,mf,15_64,9381.9716796875
afg,mf,25_54,5116.0380859375
afg,mf,25_34,2392.8408203125
afg,mf,35_54,2723.197021484375
afg,mf,55_64,627.5690307617188
afg,mf,65_plus,430.46099853515625
afg,m,15_plus,5061.85498046875
afg,m,15_24,1904.18701171875
afg,m,15_64,4854.673828125
afg,m,25_54,2635.041015625
afg,m,25_34,1245.8349609375
afg,m,35_54,1389.2060546875
afg,m,55_64,315.4460144042969
afg,m,65_plus,207.18099975585938
afg,f,15_plus,4750.578125
afg,f,15_24,1734.177978515625
afg,f,15_64,4527.2978515625
afg,f,25_54,2480.9970703125
afg,f,25_34,1147.0059814453125
afg,f,35_54,1333.990966796875
afg,f,55_64,312.12298583984375
afg,f,65_plus,223.27999877929688
afg,mf,15_plus,10133.9609375
afg,mf,15_24,3764.661865234375
afg,mf,15_64,9693.2509765625
afg,mf,25_54,5273.93408203125
afg,mf,25_34,2470.88916015625
afg,mf,35_54,2803.044921875
afg,mf,55_64,654.655029296875
afg,mf,65_plus,440.7099914550781
afg,m,15_plus,5227.93994140625
afg,m,15_24,1970.7149658203125
afg,m,15_64,5016.94677734375
afg,m,25_54,2718.18701171875
afg,m,25_34,1286.5909423828125
afg,m,35_54,1431.595947265625
afg,m,55_64,328.0450134277344
afg,m,65_plus,210.9929962158203
afg,f,15_plus,4906.02099609375
afg,f,15_24,1793.947021484375
afg,f,15_64,4676.30419921875
afg,f,25_54,2555.7470703125
afg,f,25_34,1184.2979736328125
afg,f,35_54,1371.448974609375
afg,f,55_64,326.6099853515625
afg,f,65_plus,229.7169952392578
afg,mf,15_plus,10572.302734375
afg,mf,15_24,3959.14990234375
afg,mf,15_64,10117.208984375
afg,mf,25_54,5473.34521484375
afg,mf,25_34,2580.66015625
afg,mf,35_54,2892.68505859375
afg,mf,55_64,684.7139892578125
